 id | year | initial_date | acquisition_date |   initial_price   | acquisition_price |                 return                 |         created_at         |         updated_at         |                 company
----+------+--------------+------------------+-------------------+-------------------+----------------------------------------+----------------------------+----------------------------+-----------------------------------------
  1 | 2013 |              |                  |              6.65 |             17.09 |          1.569924812030075187969924813 | 2013-10-25 02:49:31.281394 | 2013-10-25 02:50:52.449599 | Leap Wireless
  2 | 2013 |              |                  | 9.630000000000001 |              14.0 | 0.453790238836967657965707285880824718 | 2013-10-25 02:49:50.936936 | 2013-10-25 02:50:52.463735 | Hot Topic
  3 | 2013 |              |                  |             11.47 |             13.55 |          0.181342632955536181342632956 | 2013-10-25 02:50:05.112148 | 2013-10-25 02:50:52.470491 | Dole Foods
  5 | 2013 |              |                  |             21.57 |             33.77 |          0.565600370885489105238757534 | 2013-10-25 02:52:38.36931  | 2013-10-25 02:53:43.602765 | Smithfield Foods
  6 | 2013 |              |                  |             49.03 |             74.67 |          0.522945135631246175810728126 | 2013-10-25 02:53:06.456657 | 2013-10-25 02:53:43.609533 | Life Technologies
  7 | 2013 |              |                  |             10.14 |             13.84 |           0.36489151873767258382642998 | 2013-10-25 02:53:35.044065 | 2013-10-25 02:53:43.615724 | Dell Inc
  4 | 2013 |              |                  |             36.75 |              17.5 |                                   0.35 | 2013-10-25 02:52:06.177019 | 2013-10-25 02:54:35.069829 | Virgin Media*
  9 | 2013 |              |                  |              12.4 |             15.42 |                                  0.214 | 2014-09-17 18:25:40.529763 | 2014-09-17 18:27:21.11785  | United Financial Bancorp
 10 | 2014 |              |                  |             11.84 |             13.43 |                                  0.134 | 2014-09-17 18:42:37.629315 | 2014-09-17 18:42:37.629315 | Chiquita Brands
  8 | 2013 |              |                  |             15.36 |             20.35 |          0.324869791666666666666666667 | 2013-10-30 02:51:54.061213 | 2013-10-30 03:11:50.409919 | Greenway Medical
 12 | 2014 |              |                  |             54.66 |              65.0 |                                  0.189 | 2014-09-17 18:43:02.651484 | 2014-09-17 18:43:02.651484 | Jos A. Bank
 14 | 2014 |              |                  |             40.24 |             48.25 |                                  0.199 | 2014-09-17 18:43:37.217176 | 2014-09-17 18:43:37.217176 | Arthrocare
 16 | 2014 |              |                  |             71.92 |             85.53 |                                  0.189 | 2014-09-17 18:44:03.682904 | 2014-09-17 18:44:03.682904 | Rockwood Holdings
 17 | 2014 |              |                  |             82.05 |            158.86 |                     0.9360000000000001 | 2014-09-17 18:44:15.257306 | 2014-09-17 18:44:15.257306 | Zillow
 18 | 2014 |              |                  |              8.91 |             11.25 |                                  0.263 | 2014-09-17 18:45:49.595687 | 2014-09-17 18:45:49.595687 | Fusion-IO
 19 | 2014 |              |                  |             22.49 |              32.4 |                                  0.441 | 2014-09-17 18:46:01.276528 | 2014-09-17 18:46:01.276528 | Burger King
 20 | 2014 |              |                  |             18.39 |              26.0 |                                  0.414 | 2014-10-25 20:57:06.748568 | 2014-10-25 20:57:06.748568 | Digital River
 15 | 2014 |              |                  |             31.16 |              36.5 |                                  0.171 | 2014-09-17 18:43:51.899582 | 2014-10-25 21:03:30.215493 | Multimedia Games
 21 | 2014 |              |                  |             60.97 |             76.19 |          0.249630966048876496637690668 | 2015-02-10 00:41:37.830369 | 2015-02-10 00:41:37.830369 | Platinum Underwriters
 22 | 2015 |              |                  |             44.39 |             51.35 |          0.156792070286100473079522415 | 2015-02-10 00:44:03.713363 | 2015-02-10 00:44:03.713363 | MeadWestvacu Corp
 44 | 2016 |              |                  |             54.36 |             69.92 |                      0.286239882266372 | 2016-11-12 02:24:36.041392 | 2016-11-12 02:25:16.816583 | Level 3 Communications, inc.
 11 | 2014 |              |                  |            132.41 |             159.0 |                      0.200815648364927 | 2014-09-17 18:42:49.285184 | 2015-07-20 18:15:45.53988  | Time Warner Cable
 40 | 2016 |              |                  |             42.47 |              60.0 |                       0.41276194961149 | 2016-07-30 16:34:01.682101 | 2016-11-12 02:25:31.590025 | Linear Technology
