id           | 4
title        | Investment Income Tax Rates
slug         | investment-income-tax-rates
content      | This is in response to a question from one of my clients regarding what to do about Apple’s dividend income.&nbsp;<br><br>Before 2013 qualified dividends and long-term capital gains were taxed at 15% for federal tax purposes. Now for 2013 there is a new tax rate of 20%.&nbsp; Also beginning in 2013, there is a new net investment income tax with a rate of 3.8%.&nbsp; And for dessert, we have the Pease limit which adds about 1% more.&nbsp; 2012 qualified dividends and long-term capital gains were taxed at 15%. The same income items for 2013 could be taxed at about 25% depending on your situation!!!<br><br>Please allow me to run some tax bracket numbers by you.&nbsp; These numbers apply to SINGLE taxpayers only:<br><b><br>\r                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            +
             | LONG TERM CAPITAL GAINS AND QUALIFIED DIVIDENDS:<br></b><span><b>&nbsp;&nbsp;0%</b>&nbsp;bracket for taxable income:<br></span>&nbsp; &nbsp;&nbsp;-<b> Single Filer: &lt; $36,250<br></b>&nbsp; &nbsp;&nbsp;-<b> Joint Filers: &lt; $72,500</b>\r                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      +
             | <b><br>&nbsp;&nbsp;15%</b>&nbsp;bracket for taxable income:<br>&nbsp; &nbsp;&nbsp;-&nbsp;<b>Single Filer: $36,251 - $400,000<br></b>&nbsp; &nbsp;&nbsp;-<b> Joint Filers: $72,501 - $450,000</b><span><b><br>&nbsp;&nbsp;20%</b>&nbsp;bracket for taxable income:<br>&nbsp; &nbsp;&nbsp;-<b> Single Filer: $400,001+</b></span>&nbsp;<br>&nbsp; &nbsp;&nbsp;-&nbsp;<b>Joint Filers: $450,001+<br></b><br><b>3.8% NET INVESTMENT INCOME TAX:</b><br>&nbsp;&nbsp;-&nbsp;<b>Single Filer:<br></b>&nbsp; &nbsp;&nbsp;Applies to the lessor of net investment income or the amount of AGI in excess of $200,000.<br><b>&nbsp;&nbsp;- Joint Filers:<br></b>&nbsp; &nbsp;&nbsp;Applies to the lessor of net investment income or the amount of AGI in excess of $250,000.<br><b><br>PEASE LIMIT (Approx 1%):<br></b>This is a tax measure that reduces the amount of deductible itemized deductions and it reduces it by approximately 1% for every dollar of AGI in excess of $250,000 for single filers and for AGI in excess of $300,000 for joint filers. <br><br>By figuring out where you stand in relationship to these different tax items you can tell how much money you can save by reducing taxable income.&nbsp; Taxable income can be reduced by selling stocks that are in a losing position.&nbsp; If you're thinking of charitable contributions, you may want to consider giving a gift of appreciated stock.&nbsp; You would get to deduct the fair market value of the stock and not have to realize any capital gains.&nbsp; Pre-paying your April 10th 2014 property tax and 2013 4th quarter California estimated tax in 2013 will also lower your taxable income but only if you are not subject to the alternative minimum tax.<br><br>While those are some things that you can control, you can't control the receipt of Apple dividends.<br><br>I think the most useful point of this is to figure out which taxes and which tax bracket you're going to fall into and go from there.&nbsp; It's good to do it now since there is still time to affect the final numbers.&nbsp; 2013 has certainly added more complexity to having investment income.&nbsp; Let me know if you have any questions.&nbsp; I'm happy to help you.<br><br><br><div><i><b>Disclosure:\r+
             | </b></i><i>TULA does not offer tax or legal advice. Taxpayers should seek advice based on their specific circumstances from a qualified tax professional.</i></div>
excerpt      |
author       | Daryl Wong
year         | 2013
month        | 9
is_published | t
published_at | 2013-09-26 01:14:07.696827
created_at   | 2013-09-26 01:14:07.70555
updated_at   | 2013-11-29 20:02:01.197928
