id | year | tula_return |         created_at         |         updated_at         | sp500_return
----+------+-------------+----------------------------+----------------------------+--------------
 1 | 1995 |         0.4 | 2013-09-15 02:19:12.009756 | 2013-09-15 02:29:14.699613 |         0.37
 2 | 1996 |        0.68 | 2013-09-15 02:20:20.899474 | 2013-09-15 02:29:39.556925 |         0.23
 3 | 1997 |        0.08 | 2013-09-15 02:20:41.961229 | 2013-09-15 02:30:31.753851 |         0.33
 4 | 1998 |        0.29 | 2013-09-15 02:20:56.303676 | 2013-09-15 02:30:48.160341 |         0.29
 5 | 1999 |        0.53 | 2013-09-15 02:32:39.601615 | 2013-09-15 02:32:39.608658 |         0.21
 6 | 2000 |       -0.17 | 2013-09-15 02:34:01.471813 | 2013-09-15 02:34:01.477944 |        -0.09
 7 | 2001 |       -0.01 | 2013-09-15 02:34:36.475919 | 2013-09-15 02:34:36.481929 |        -0.12
 8 | 2002 |       -0.25 | 2013-09-15 02:34:53.890756 | 2013-09-15 02:34:53.896491 |        -0.22
 9 | 2003 |        0.32 | 2013-09-15 02:35:16.018712 | 2013-09-15 02:35:16.024463 |         0.29
10 | 2004 |        0.21 | 2013-09-15 02:35:45.210899 | 2013-09-15 02:35:45.221316 |         0.11
11 | 2005 |        0.09 | 2013-09-15 02:36:08.631762 | 2013-09-15 02:36:08.637602 |         0.05
12 | 2006 |        0.11 | 2013-09-15 02:36:25.729273 | 2013-09-15 02:36:25.735046 |         0.16
13 | 2007 |        0.16 | 2013-09-15 02:36:51.841247 | 2013-09-15 02:36:51.870062 |         0.05
14 | 2008 |       -0.27 | 2013-09-15 02:37:15.835279 | 2013-09-15 02:37:15.841019 |        -0.37
15 | 2009 |         0.3 | 2013-09-15 02:37:42.376783 | 2013-09-15 02:37:42.382116 |         0.26
16 | 2010 |        0.22 | 2013-09-15 02:37:55.992893 | 2013-09-15 02:37:55.997866 |         0.12
17 | 2011 |       -0.14 | 2013-09-15 02:38:29.676764 | 2013-09-15 02:38:29.683261 |         0.02
18 | 2012 |        0.15 | 2013-09-15 02:38:50.470845 | 2013-09-15 02:38:50.477119 |         0.16
19 | 2013 |        0.45 | 2013-09-15 02:39:05.049678 | 2014-01-05 07:10:51.451175 |          0.3
20 | 2014 |        0.05 | 2014-05-23 07:12:47.366342 | 2015-02-10 00:49:11.958378 |         0.11
21 | 2015 |       -0.15 | 2015-09-07 02:46:15.83938  | 2016-02-15 09:24:32.61527  |        -0.01
23 | 2017 |        0.18 | 2017-07-02 17:55:48.817984 | 2018-01-11 23:53:50.0239   |         0.19
24 | 2018 |      -0.031 | 2018-07-16 22:21:09.843238 | 2019-01-15 20:36:12.561596 |       -0.062
22 | 2016 |        0.18 | 2016-04-25 22:57:28.902548 | 2016-12-31 12:00:00        |          0.1
26 | 2020 |       0.329 | 2021-01-07 05:32:03.446404 | 2021-01-07 05:32:03.446404 |       0.1625
25 | 2019 |        0.35 | 2019-04-20 23:15:11.973874 | 2020-01-03 00:09:55.718862 |        0.289
(26 rows)
